Word	Lemma	Category
&	et	coo
&amp;	et	coo
&gt;	suivre	v
&gt;	suivre	v
&lt;	précéder	v
&lt;	précéder	v
/	ou	coo
@	à	prep
@+	à plus	pres
~	environ	adv
++	à plus	pres
<	précéder	v
<<	précéder	v
>	suivre	v
>>	suivre	v
±	plus ou moins	adv
°	degré	nc
°C	degré	nc
°F	degré	nc
½	demi	nc
à-tout-va	à tout va	adv
à +	à plus	pres
à cause d'	à cause de	prep
à cause d'__prep	à cause de	prep
à cause de__prep	à cause de	prep
à côté d'	à côté de	prep
à côté d'__prep	à côté de	prep
à côté de__prep	à côté de	prep
à défaut d'	à défaut de	prep
à défaut d'__prep	à défaut de	prep
à défaut de__prep	à défaut de	prep
à force d'	à force de	prep
à force d'__prep	à force de	prep
à force de__prep	à force de	prep
à hauteur d'	à hauteur de	prep
à hauteur d'__prep	à hauteur de	prep
à hauteur de__prep	à hauteur de	prep
à l'aune d'	à l'aune de	prep
à l'aune d'__prep	à l'aune de	prep
à l'aune de__prep	à l'aune de	prep
à l'égard d'	à l'égard de	prep
à l'égard d'__prep	à l'égard de	prep
à l'égard de__prep	à l'égard de	prep
à l'encontre d'	à l'encontre de	prep
à l'encontre d'__prep	à l'encontre de	prep
à l'encontre de__prep	à l'encontre de	prep
à l'instar d'	à l'instar de	prep
à l'instar d'__prep	à l'instar de	prep
à l'instar de__prep	à l'instar de	prep
à l'insu d'	à l'insu de	prep
à l'insu d'__prep	à l'insu de	prep
à l'insu de__prep	à l'insu de	prep
à moins d'	à moins de	prep
à moins d'__prep	à moins de	prep
à moins de__prep	à moins de	prep
à partir d'	à partir de	prep
à partir d'__prep	à partir de	prep
à partir de__prep	à partir de	prep
à plouche	à plus	pres
à proportion d'	à proportion de	prep
à proportion d'__prep	à proportion de	prep
à proportion de__prep	à proportion de	prep
à propos d'	à propos de	prep
à propos d'__prep	à propos de	prep
à propos de__prep	à propos de	prep
à raison d'	à raison de	prep
à raison d'__prep	à raison de	prep
à raison de__prep	à raison de	prep
à tout-va	à tout va	adv
a+	à plus	pres
abats	abats	nc
abdos	abdominaux	nc
abois	abois	nc
accrû	accroître	v
accrûe	accroître	v
accrûes	accroître	v
accrûs	accroître	v
achards	achards	nc
active	actif	nc
actives	actif	nc
admirent	admettre	v
ados	ados	nc
affiliez	affiler	v
affilions	affiler	v
affine	affin	adj
affines	affin	adj
afin d'	afin de	prep
afin d'__prep	afin de	prep
afin de__prep	afin de	prep
aïeuls	aïeul	nc
aille	ailler	v
aillent	ailler	v
ailles	ailler	v
ainsi qu'	ainsi que	coo
alentours	alentour	nc
aléseuse	aléseur	nc
aléseuses	aléseur	nc
algo	algorithme	nc
algos	algorithme	nc
allegri	allegro	nc
allemande	allemand	nc
allemandes	allemand	nc
aller-retour	aller-retour	nc
alliez	allier	v
allions	allier	v
allume-cigares	allume-cigare	nc
allumeuse	allumeur	nc
allumeuses	allumeur	nc
alu	aluminium	nc
américaine	américain	nc
américaines	américain	nc
amie	ami	nc
amies	ami	nc
amortie	amorti	nc
amorties	amorti	nc
ancienne	ancien	nc
anciennes	ancien	nc
ânesse	âne	nc
ânesses	âne	nc
anglaise	anglais	nc
anglaises	anglais	nc
anis	ani	nc
anniv	anniversaire	nc
anniv'	anniversaire	nc
anticasseurs	anticasseurs	adj
apprêteuse	apprêteur	nc
apprêteuses	apprêteur	nc
apprêts	apprêts	nc
apr.	après	prep
aprèm	après-midi	nc
après-m	après-midi	nc
après-ski	après-ski	nc
arbalétrière	arbalétrier	nc
arbalétrières	arbalétrier	nc
archère	archer	nc
archères	archer	nc
archiduchesse	archiduc	nc
archiduchesses	archiduc	nc
ardennais	ardennais	nc
ardennaiss	ardennais	nc
argentine	argentin	nc
argentines	argentin	nc
arpenteuse	arpenteur	nc
arpenteuses	arpenteur	nc
arracheuse	arracheur	nc
arracheuses	arracheur	nc
arrivée	arrivé	nc
arrivées	arrivé	nc
arroseuse	arroseur	nc
arroseuses	arroseur	nc
asap	dès que possible	adv
assembleuse	assembleur	nc
assembleuses	assembleur	nc
assène	asséner	v
assènent	asséner	v
assènes	asséner	v
assises	assises	nc
assoie	asseoir	v
assoient	asseoir	v
assoies	asseoir	v
assoira	asseoir	v
assoirai	asseoir	v
assoiraient	asseoir	v
assoirais	asseoir	v
assoirait	asseoir	v
assoiras	asseoir	v
assoirez	asseoir	v
assoiriez	asseoir	v
assoirions	asseoir	v
assoiront	asseoir	v
assois	asseoir	v
assoit	asseoir	v
assoyaient	asseoir	v
assoyais	asseoir	v
assoyait	asseoir	v
assoyant	asseoir	v
assoyez	asseoir	v
assoyiez	asseoir	v
assoyions	asseoir	v
assoyons	asseoir	v
athlé	athlétisme	nc
atours	atours	nc
attrape-mouche	attrape-mouche	nc
attrape-nigaud	attrape-nigaud	nc
au-delà d'	au-delà de	prep
au-dessous d'	au-dessous de	prep
au-dessous d'__prep	au-dessous de	prep
au-dessous de__prep	au-dessous de	prep
au-dessus d'	au-dessus de	prep
au-dessus d'__prep	au-dessus de	prep
au-dessus de__prep	au-dessus de	prep
au-devant d'	au-devant de	prep
au-devant d'__prep	au-devant de	prep
au-devant de__prep	au-devant de	prep
au beau milieu d'	au beau milieu de	prep
au beau milieu d'__prep	au beau milieu de	prep
au beau milieu de__prep	au beau milieu de	prep
au bord d'	au bord de	prep
au bord d'__prep	au bord de	prep
au bord de__prep	au bord de	prep
au bout d'	au bout de	prep
au bout d'__prep	au bout de	prep
au bout de__prep	au bout de	prep
au centre d'	au centre de	prep
au centre d'__prep	au centre de	prep
au centre de__prep	au centre de	prep
au comble d'	au comble de	prep
au comble d'__prep	au comble de	prep
au comble de__prep	au comble de	prep
au côté d'	au côté de	prep
au côté d'__prep	au côté de	prep
au côté de__prep	au côté de	prep
au cours d'	au cours de	prep
au cours d'__prep	au cours de	prep
au cours de__prep	au cours de	prep
au dehors d'	au dehors de	prep
au dehors d'__prep	au dehors de	prep
au dehors de__prep	au dehors de	prep
au delà	au-delà	adv
au delà d'__prep	au delà de	prep
au delà de	au-delà de	prep
au delà de__prep	au delà de	prep
au dessous d'	au dessous de	prep
au dessous d'__prep	au dessous de	prep
au dessous de__prep	au dessous de	prep
au devant d'	au devant de	prep
au devant d'__prep	au devant de	prep
au devant de__prep	au devant de	prep
au fond d'	au fond de	prep
au fond d'__prep	au fond de	prep
au fond de__prep	au fond de	prep
au fur et à mesure d'	au fur et à mesure de	prep
au fur et à mesure d'__prep	au fur et à mesure de	prep
au fur et à mesure de__prep	au fur et à mesure de	prep
au grand dam d'	au grand dam de	prep
au grand dam d'__prep	au grand dam de	prep
au grand dam de__prep	au grand dam de	prep
au gré d'	au gré de	prep
au gré d'__prep	au gré de	prep
au gré de__prep	au gré de	prep
au large d'	au large de	prep
au large d'__prep	au large de	prep
au large de__prep	au large de	prep
au lieu d'	au lieu de	prep
au lieu d'__prep	au lieu de	prep
au lieu de__prep	au lieu de	prep
au long d'	au long de	prep
au long d'__prep	au long de	prep
au long de__prep	au long de	prep
au même titre qu'	au même titre que	coo
au milieu d'	au milieu de	prep
au milieu d'__prep	au milieu de	prep
au milieu de__prep	au milieu de	prep
au moment d'	au moment de	prep
au moment d'__prep	au moment de	prep
au moment de__prep	au moment de	prep
au moyen d'	au moyen de	prep
au moyen d'__prep	au moyen de	prep
au moyen de__prep	au moyen de	prep
au nom d'	au nom de	prep
au nom d'__prep	au nom de	prep
au nom de__prep	au nom de	prep
au point d'	au point de	prep
au point d'__prep	au point de	prep
au point de__prep	au point de	prep
au prorata d'	au prorata de	prep
au prorata d'__prep	au prorata de	prep
au prorata de__prep	au prorata de	prep
au ras d'	au ras de	prep
au ras d'__prep	au ras de	prep
au ras de__prep	au ras de	prep
au sein d'	au sein de	prep
au sein d'__prep	au sein de	prep
au sein de__prep	au sein de	prep
au sortir d'	au sortir de	prep
au sortir d'__prep	au sortir de	prep
au sortir de__prep	au sortir de	prep
au sujet d'	au sujet de	prep
au sujet d'__prep	au sujet de	prep
au sujet de__prep	au sujet de	prep
au terme d'	au terme de	prep
au terme d'__prep	au terme de	prep
au terme de__prep	au terme de	prep
au travers d'	au travers de	prep
au travers d'__prep	au travers de	prep
au travers de__prep	au travers de	prep
au tréfonds d'	au tréfonds de	prep
au tréfonds d'__prep	au tréfonds de	prep
au tréfonds de__prep	au tréfonds de	prep
au vu d'	au vu de	prep
au vu d'__prep	au vu de	prep
au vu de__prep	au vu de	prep
au vu et au su d'	au vu et au su de	prep
au vu et au su d'__prep	au vu et au su de	prep
au vu et au su de__prep	au vu et au su de	prep
auprès d'	auprès de	prep
auprès d'__prep	auprès de	prep
auprès de__prep	auprès de	prep
autour d'	autour de	prep
autour d'__prep	autour de	prep
autour de__prep	autour de	prep
aux bons soins d'	aux bons soins de	prep
aux bons soins d'__prep	aux bons soins de	prep
aux bons soins de__prep	aux bons soins de	prep
aux confins d'	aux confins de	prep
aux confins d'__prep	aux confins de	prep
aux confins de__prep	aux confins de	prep
aux dépens d'	aux dépens de	prep
aux dépens d'__prep	aux dépens de	prep
aux dépens de__prep	aux dépens de	prep
av.	avant	prep
avant d'	avant de	prep
avant d'__prep	avant de	prep
avant de__prep	avant de	prep
avant même d'	avant même de	prep
avant même d'__prep	avant même de	prep
avant même de__prep	avant même de	prep
avant que d'	avant que de	prep
avant que d'__prep	avant que de	prep
avant que de__prep	avant que de	prep
avt	avant	prep
babillarde	babillard	nc
babillardes	babillard	nc
baie	bayer	v
baient	bayer	v
baiera	bayer	v
baierai	bayer	v
baieraient	bayer	v
baierais	bayer	v
baierait	bayer	v
baieras	bayer	v
baierez	bayer	v
baieriez	bayer	v
baierions	bayer	v
baierons	bayer	v
baieront	bayer	v
baies	bayer	v
baigneuse	baigneur	nc
baigneuses	baigneur	nc
bailleresse	bailleur	nc
bailleuresses	bailleur	nc
balaie	balayer	v
balaient	balayer	v
balaiera	balayer	v
balaierai	balayer	v
balaieraient	balayer	v
balaierais	balayer	v
balaierait	balayer	v
balaieras	balayer	v
balaierez	balayer	v
balaieriez	balayer	v
balaierions	balayer	v
balaierons	balayer	v
balaieront	balayer	v
balaies	balayer	v
balayeuse	balayeur	nc
balayeuses	balayeur	nc
banals	banal	adj
banco	banco	nc
bande-dessinée	B.D.	nc
bande dessinée	B.D.	nc
bandes-dessinées	B.D.	nc
bandes dessinées	B.D.	nc
bans	bans	nc
barboteuse	barboteur	nc
barboteuses	barboteur	nc
barbue	barbu	nc
barbues	barbu	nc
barmen	barman	nc
baronne	baron	nc
baronnes	baron	nc
bâtarde	bâtard	nc
bâtardes	bâtard	nc
batteuse	batteur	nc
batteuses	batteur	nc
battue	battu	nc
battues	battu	nc
baux	bau	nc
bavaroise	bavarois	nc
bavaroises	bavarois	nc
baveuse	baveur	adj
baveuses	baveur	adj
bcp	beaucoup	adv
bd	boulevard	nc
BD	B.D.	nc
bédé	B.D.	nc
bédés	B.D.	nc
bégaie	bégayer	v
bégaient	bégayer	v
bégaiera	bégayer	v
bégaierai	bégayer	v
bégaieraient	bégayer	v
bégaierais	bégayer	v
bégaierait	bégayer	v
bégaieras	bégayer	v
bégaierez	bégayer	v
bégaieriez	bégayer	v
bégaierions	bégayer	v
bégaierons	bégayer	v
bégaieront	bégayer	v
bégaies	bégayer	v
bègue	bégu	adj
bègues	bégu	adj
bel	beau	adj
bénédictine	bénédictin	nc
bénédictines	bénédictin	nc
bergère	berger	nc
bergères	berger	nc
beurettes	beur	nc
bibli	bibliothèque	nc
bineuse	bineur	nc
bineuses	bineur	nc
biquette	biquet	nc
biquettes	biquet	nc
biz	bise	nc
blonde	blond	nc
blondes	blond	nc
blue-jeans	blue-jeans	nc
bluff	bluff	nc
bobineuse	bobineur	nc
bobineuses	bobineur	nc
bof-bof	bof	adj
bof-bof	bof	pres
bon app'	bon appétit	pres
bonne	bon	nc
bonnes	bon	nc
bonnetière	bonnetier	nc
bonnetières	bonnetier	nc
boots	boots	nc
bordelaise	bordelais	nc
bordelaises	bordelais	nc
botteleuse	botteleur	nc
botteleuses	botteleur	nc
boudeuse	boudeur	nc
boudeuses	boudeur	nc
boueuse	boueux	nc
boueuses	boueux	nc
bouillons	bouillons	nc
boul.	boulevard	nc
bourgeoise	bourgeois	nc
bourgeoises	bourgeois	nc
boutonnière	boutonnier	nc
boutonnières	boutonnier	nc
bouts-rimés	bouts-rimés	nc
bouveteuse	bouveteur	nc
bouveteuses	bouveteur	nc
bouvière	bouvier	nc
bouvières	bouvier	nc
boxes	boxe	nc
braconnière	braconnier	nc
braconnières	braconnier	nc
branchée	branché	nc
branchées	branché	nc
bravi	bravo	nc
brins	brins	nc
briseuse	briseur	nc
briseuses	briseur	nc
brocheuse	brocheur	nc
brocheuses	brocheur	nc
brodeuse	brodeur	nc
brodeuses	brodeur	nc
brouillasse	brouillasser	v
broyeuse	broyeur	nc
broyeuses	broyeur	nc
brune	brun	nc
brunes	brun	nc
c-à-d	c'est-à-dire	coo
c.-à.-d.	c'est-à-dire	coo
càd	c'est-à-dire	coo
caddies	caddie	nc
cadette	cadet	nc
cadettes	cadet	nc
cafardeuse	cafardeur	adj
cafardeuses	cafardeur	adj
cafetière	cafetier	nc
cafetières	cafetier	nc
cafouilleuse	cafouilleur	adj
cafouilleuses	cafouilleur	adj
cagote	cagot	nc
cahin caha	cahin-caha	adv
calculatrice	calculateur	nc
calculatrices	calculateur	nc
cale-pied	cale-pied	nc
camarde	camard	nc
camardes	camard	nc
camée	camé	nc
camées	camé	nc
Canal+	Canal Plus	np
canon	canon	adj
canonnière	canonnier	nc
canonnières	canonnier	nc
car	car	coo
cardeuse	cardeur	nc
cardeuses	cardeur	nc
cardio	cardiologie	nc
carotteuse	carotteur	nc
carotteuses	carotteur	nc
cartaie	cartayer	v
cartaient	cartayer	v
cartaiera	cartayer	v
cartaierai	cartayer	v
cartaieraient	cartayer	v
cartaierais	cartayer	v
cartaierait	cartayer	v
cartaieras	cartayer	v
cartaierez	cartayer	v
cartaieriez	cartayer	v
cartaierions	cartayer	v
cartaierons	cartayer	v
cartaieront	cartayer	v
cartaies	cartayer	v
casseaux	casseaux	nc
casseuse	casseur	nc
casseuses	casseur	nc
cata	catastrophe	nc
cauris	cauris	nc
causals	causal	adj
cause d'	cause de	prep
cause d'__prep	cause de	prep
cause de__prep	cause de	prep
cent	cent	nc
ceps	ceps	nc
cerceaux	cerceaux	nc
cf.	cf	prep
ch'ti	petit	adj
ch.	chapitre	nc
chais	chais	nc
chamelle	chameau	nc
chamelles	chameau	nc
champ	champagne	nc
champenoise	champenois	nc
champenoises	champenois	nc
champis	champis	nc
champs	champs	nc
chanoinesse	chanoine	nc
chanoinesses	chanoine	nc
chap.	chapitre	nc
charbonnière	charbonnier	nc
charbonnières	charbonnier	nc
chartreuse	chartreux	nc
chartreuses	chartreux	nc
châtelaine	châtelain	nc
châtelaines	châtelain	nc
chatte	chat	nc
chattes	chat	nc
chauffe-plats	chauffe-plat	nc
chauffeuse	chauffeur	nc
chauffeuses	chauffeur	nc
chevaux	chevau	nc
chevaux	chevaux	nc
cheveux	cheveux	nc
chevrette	chevreter	v
chevrettent	chevreter	v
chevrettera	chevreter	v
chevretterai	chevreter	v
chevretteraient	chevreter	v
chevretterais	chevreter	v
chevretterait	chevreter	v
chevretteras	chevreter	v
chevretterez	chevreter	v
chevretteriez	chevreter	v
chevretterions	chevreter	v
chevretterons	chevreter	v
chevretteront	chevreter	v
chevrettes	chevreter	v
chienne	chien	nc
chiennes	chien	nc
chiens	chiens	nc
chiffonnière	chiffonnier	nc
chiffonnières	chiffonnier	nc
chocolatière	chocolatier	nc
chocolatières	chocolatier	nc
choie	choir	v
choient	choir	v
choies	choir	v
chorals	choral	adj
choux	choux	nc
choyant	choir	v
choyez	choir	v
choyiez	choir	v
choyions	choir	v
choyons	choir	v
chtou	tout	adv
chtoute	tout	adv
Cie	compagnie	nc
ciels	ciel	nc
cieux	cieux	nc
cigarière	cigarier	nc
cigarières	cigarier	nc
cireuse	cireur	nc
cireuses	cireur	nc
cirière	cirier	nc
cirières	cirier	nc
ciseaux	ciseaux	nc
clairs	clairs	nc
clignos	clignotant	nc
coachs	coach	nc
cochonne	cochon	nc
cochonnes	cochon	nc
codes	codes	nc
coffres	coffres	nc
coiffeuse	coiffeur	nc
coiffeuses	coiffeur	nc
coll.	collection	nc
collatérale	collatéral	nc
collatérales	collatéral	nc
collatéraux	collatéraux	nc
collec.	collection	nc
colleuse	colleur	nc
colleuses	colleur	nc
coloc	colocataire	nc
colocs	colocataire	nc
coloriez	colorer	v
colorions	colorer	v
combis	combinaison	nc
comices	comices	nc
commerciale	commercial	nc
commerciales	commercial	nc
Commission	commission	nc
communs	communs	nc
compact disk	CD	nc
comparais	comparaître	v
composeuse	composeur	nc
composeuses	composeur	nc
comptes	comptes	nc
comtesse	comte	nc
comtesses	comte	nc
comtoise	comtois	nc
comtoises	comtois	nc
conditionneuse	conditionneur	nc
conditionneuses	conditionneur	nc
conf.	cf	prep
confédérés	confédérés	nc
confer	cf	prep
configs	configuration	nc
congélo	congélateur	nc
congélos	congélateur	nc
conjoints	conjoints	nc
conne	con	nc
connes	con	nc
Conseil	conseil	nc
Conseil d'Administration	CA	nc
converse	convers	adj
converses	convers	adj
convient	convier	v
coquette	coquet	nc
coquettes	coquet	nc
coraux	coraux	nc
courbatu	courbaturer	v
courbatue	courbaturer	v
courbatues	courbaturer	v
courbatus	courbaturer	v
cours	cours	nc
cpdt	cependant	adv
crevasse	crevasser	v
crevassent	crevasser	v
crevasses	crevasser	v
crevassiez	crevasser	v
crevassions	crevasser	v
criminelle	criminel	nc
criminelles	criminel	nc
crocs	crocs	nc
croisée	croisé	nc
croisées	croisé	nc
croisés	croisés	nc
crûmes	croître	v
crût	croître	v
crûtes	croître	v
cuirs	cuirs	nc
cuisinière	cuisinier	nc
cuisinières	cuisinier	nc
cuite	cuiter	v
cuites	cuiter	v
cuivres	cuivres	nc
cure-dents	cure-dent	nc
curedent	cure-dent	nc
curedents	cure-dent	nc
CV	curriculum vitae	nc
d'	de	prep
d'__prep	de	prep
d'avis d'	d'avis de	prep
d'avis d'__prep	d'avis de	prep
d'avis de__prep	d'avis de	prep
dalaï-lama	dalaï-lama	nc
damasse	damer	v
damassent	damer	v
damasses	damer	v
damassiez	damer	v
damassions	damer	v
dare-dare	dare dare	adv
de l'ordre d'	de l'ordre de	prep
de l'ordre d'__prep	de l'ordre de	prep
de l'ordre de__prep	de l'ordre de	prep
de part et d'autre d'	de part et d'autre de	prep
de part et d'autre d'__prep	de part et d'autre de	prep
de part et d'autre de__prep	de part et d'autre de	prep
de__prep	de	prep
débarrasse	débarrer	v
débarrassent	débarrer	v
débarrasses	débarrer	v
débarrassiez	débarrer	v
débarrassions	débarrer	v
déblaie	déblayer	v
déblaient	déblayer	v
déblaiera	déblayer	v
déblaierai	déblayer	v
déblaieraient	déblayer	v
déblaierais	déblayer	v
déblaierait	déblayer	v
déblaieras	déblayer	v
déblaierez	déblayer	v
déblaieriez	déblayer	v
déblaierions	déblayer	v
déblaierons	déblayer	v
déblaieront	déblayer	v
déblaies	déblayer	v
déblais	déblais	nc
débraie	débrayer	v
débraient	débrayer	v
débraiera	débrayer	v
débraierai	débrayer	v
débraieraient	débrayer	v
débraierais	débrayer	v
débraierait	débrayer	v
débraieras	débrayer	v
débraierez	débrayer	v
débraieriez	débrayer	v
débraierions	débrayer	v
débraierons	débrayer	v
débraieront	débrayer	v
débraies	débrayer	v
débutante	débutant	nc
débutantes	débutant	nc
débuts	débuts	nc
décapeuse	décapeur	nc
décapeuses	décapeur	nc
déclassés	déclassés	nc
décolleteuse	décolleteur	nc
décolleteuses	décolleteur	nc
décrû	décroître	v
décrue	décruer	v
décrûe	décroître	v
décrues	décruer	v
décrûes	décroître	v
décrûs	décroître	v
défends	défends	nc
défileuse	défileur	nc
défileuses	défileur	nc
défraie	défrayer	v
défraient	défrayer	v
défraiera	défrayer	v
défraierai	défrayer	v
défraieraient	défrayer	v
défraierais	défrayer	v
défraierait	défrayer	v
défraieras	défrayer	v
défraierez	défrayer	v
défraieriez	défrayer	v
défraierions	défrayer	v
défraierons	défrayer	v
défraieront	défrayer	v
défraies	défrayer	v
dégueulasse	dégueuler	v
dégueulassent	dégueuler	v
dégueulasses	dégueuler	v
dégueulassiez	dégueuler	v
dégueulassions	dégueuler	v
délaie	délayer	v
délaient	délayer	v
délaiera	délayer	v
délaierai	délayer	v
délaieraient	délayer	v
délaierais	délayer	v
délaierait	délayer	v
délaieras	délayer	v
délaierez	délayer	v
délaieriez	délayer	v
délaierions	délayer	v
délaierons	délayer	v
délaieront	délayer	v
délaies	délayer	v
delta	delta	nc
dép.	département	nc
dépanneuse	dépanneur	nc
dépanneuses	dépanneur	nc
dépariez	déparer	v
déparions	déparer	v
dépeignaient	dépeigner	v
dépeignais	dépeigner	v
dépeignait	dépeigner	v
dépeignant	dépeigner	v
dépeigne	dépeigner	v
dépeignent	dépeigner	v
dépeignes	dépeigner	v
dépeignez	dépeigner	v
dépeigniez	dépeigner	v
dépeignions	dépeigner	v
dépeignons	dépeigner	v
déprise	déprendre	v
déprises	déprendre	v
dept.	département	nc
déraie	dérayer	v
déraient	dérayer	v
déraiera	dérayer	v
déraierai	dérayer	v
déraieraient	dérayer	v
déraierais	dérayer	v
déraierait	dérayer	v
déraieras	dérayer	v
déraierez	dérayer	v
déraieriez	dérayer	v
déraierions	dérayer	v
déraierons	dérayer	v
déraieront	dérayer	v
déraies	dérayer	v
derby	derby	nc
dés	dés	nc
dessous	dessou	nc
détectrice	détecteur	nc
détectrices	détecteur	nc
dévêtis	dévêtir	v
dévêtit	dévêtir	v
dévots	dévots	nc
diablesse	diable	nc
diablesses	diable	nc
dieux	dieux	nc
digital versatile disk	DVD	nc
directrice	directeur	nc
directrices	directeur	nc
dires	dires	nc
disserts	dissertation	nc
distanciez	distancer	v
distancions	distancer	v
douanes	douanes	nc
douteuse	douteur	adj
douteuses	douteur	adj
dragueuse	dragueur	nc
dragueuses	dragueur	nc
dresseuse	dresseur	nc
dresseuses	dresseur	nc
droits	droits	nc
drôlesse	drôle	nc
drôlesses	drôle	nc
du côté d'	du côté de	prep
du côté d'__prep	du côté de	prep
du côté de__prep	du côté de	prep
duchesse	duc	nc
duchesses	duc	nc
dure	dur	nc
durent	durer	v
dures	dur	nc
DVD+R	DVD-R	nc
DVD+RW	DVD-RW	nc
ébarbeuse	ébarbeur	nc
ébarbeuses	ébarbeur	nc
échappée	échappé	nc
échappées	échappé	nc
écharneuse	écharneur	nc
écharneuses	écharneur	nc
échos	échos	nc
éclôt	éclore	v
écossaise	écossais	nc
écossaises	écossais	nc
écus	écus	nc
éditos	éditorial	nc
effilocheuse	effilocheur	nc
effilocheuses	effilocheur	nc
effraie	effrayer	v
effraient	effrayer	v
effraiera	effrayer	v
effraierai	effrayer	v
effraieraient	effrayer	v
effraierais	effrayer	v
effraierait	effrayer	v
effraieras	effrayer	v
effraierez	effrayer	v
effraieriez	effrayer	v
effraierions	effrayer	v
effraierons	effrayer	v
effraieront	effrayer	v
effraies	effrayer	v
égaie	égayer	v
égaient	égayer	v
égaiera	égayer	v
égaierai	égayer	v
égaieraient	égayer	v
égaierais	égayer	v
égaierait	égayer	v
égaieras	égayer	v
égaierez	égayer	v
égaieriez	égayer	v
égaierions	égayer	v
égaierons	égayer	v
égaieront	égayer	v
égaies	égayer	v
égyptienne	égyptien	nc
égyptiennes	égyptien	nc
éleveuse	éleveur	nc
éleveuses	éleveur	nc
élus	élus	nc
émaux	émaux	nc
embarras	embarra	nc
embarrasse	embarrer	v
embarrassent	embarrer	v
embarrasses	embarrer	v
embarrassiez	embarrer	v
embarrassions	embarrer	v
embraie	embrayer	v
embraient	embrayer	v
embraiera	embrayer	v
embraierai	embrayer	v
embraieraient	embrayer	v
embraierais	embrayer	v
embraierait	embrayer	v
embraieras	embrayer	v
embraierez	embrayer	v
embraieriez	embrayer	v
embraierions	embrayer	v
embraierons	embrayer	v
embraieront	embrayer	v
embraies	embrayer	v
en-deçà d'	en-deçà de	prep
en absence d'	en absence de	prep
en absence d'__prep	en absence de	prep
en absence de__prep	en absence de	prep
en âge d'	en âge de	prep
en âge d'__prep	en âge de	prep
en âge de__prep	en âge de	prep
en amont d'	en amont de	prep
en amont d'__prep	en amont de	prep
en amont de__prep	en amont de	prep
en arrière d'	en arrière de	prep
en arrière d'__prep	en arrière de	prep
en arrière de__prep	en arrière de	prep
en aval d'	en aval de	prep
en aval d'__prep	en aval de	prep
en aval de__prep	en aval de	prep
en avant d'	en avant de	prep
en avant d'__prep	en avant de	prep
en avant de__prep	en avant de	prep
en cas d'	en cas de	prep
en cas d'__prep	en cas de	prep
en cas de__prep	en cas de	prep
en contrebas d'	en contrebas de	prep
en contrebas d'__prep	en contrebas de	prep
en contrebas de__prep	en contrebas de	prep
en début d'	en début de	prep
en début d'__prep	en début de	prep
en début de__prep	en début de	prep
en deçà	en-deçà	adv
en deçà d'	en-deçà de	prep
en deçà de	en-deçà de	prep
en dedans d'	en dedans de	prep
en dedans d'__prep	en dedans de	prep
en dedans de__prep	en dedans de	prep
en dehors d'	en dehors de	prep
en dehors d'__prep	en dehors de	prep
en dehors de__prep	en dehors de	prep
en delà d'	en delà de	prep
en delà d'__prep	en delà de	prep
en delà de__prep	en delà de	prep
en dépit d'	en dépit de	prep
en dépit d'__prep	en dépit de	prep
en dépit de__prep	en dépit de	prep
en dessous d'	en dessous de	prep
en dessous d'__prep	en dessous de	prep
en dessous de__prep	en dessous de	prep
en face d'	en face de	prep
en face d'__prep	en face de	prep
en face de__prep	en face de	prep
en fait d'	en fait de	prep
en fait d'__prep	en fait de	prep
en fait de__prep	en fait de	prep
en faveur d'	en faveur de	prep
en faveur d'__prep	en faveur de	prep
en faveur de__prep	en faveur de	prep
en fin d'	en fin de	prep
en fin d'__prep	en fin de	prep
en fin de__prep	en fin de	prep
en guise d'	en guise de	prep
en guise d'__prep	en guise de	prep
en guise de__prep	en guise de	prep
en haut d'	en haut de	prep
en haut d'__prep	en haut de	prep
en haut de__prep	en haut de	prep
en instance d'	en instance de	prep
en instance d'__prep	en instance de	prep
en instance de__prep	en instance de	prep
en manière d'	en manière de	prep
en manière d'__prep	en manière de	prep
en manière de__prep	en manière de	prep
en manque d'	en manque de	prep
en manque d'__prep	en manque de	prep
en manque de__prep	en manque de	prep
en milieu d'	en milieu de	prep
en milieu d'__prep	en milieu de	prep
en milieu de__prep	en milieu de	prep
en outre d'	en outre de	prep
en outre d'__prep	en outre de	prep
en outre de__prep	en outre de	prep
en perte d'	en perte de	prep
en perte d'__prep	en perte de	prep
en perte de__prep	en perte de	prep
en plein centre d'	en plein centre de	prep
en plein centre d'__prep	en plein centre de	prep
en plein centre de__prep	en plein centre de	prep
en plus d'	en plus de	prep
en plus d'__prep	en plus de	prep
en plus de__prep	en plus de	prep
en quête d'	en quête de	prep
en quête d'__prep	en quête de	prep
en quête de__prep	en quête de	prep
en raison d'	en raison de	prep
en raison d'__prep	en raison de	prep
en raison de__prep	en raison de	prep
en regard d'	en regard de	prep
en regard d'__prep	en regard de	prep
